frame_number grid_index player_position_x_meters player_position_y_meters
0 50 -5 3
0 112 -5 15.4
0 548 -4.4 6.6
1 50 -5 3
1 112 -5 15.4
1 548 -4.4 6.6
2 50 -5 3
2 112 -5 15.4
2 548 -4.4 6.6
3 50 -5 3
3 112 -5 15.4
3 391 -4.6 7.2
3 548 -4.4 6.6
5 50 -5 3
5 112 -5 15.4
5 548 -4.4 6.6
6 50 -5 3
6 112 -5 15.4
6 548 -4.4 6.6
7 50 -5 3
7 112 -5 15.4
7 548 -4.4 6.6
8 50 -5 3
8 112 -5 15.4
8 548 -4.4 6.6
9 50 -5 3
9 112 -5 15.4
9 548 -4.4 6.6
10 50 -5 3
10 112 -5 15.4
10 548 -4.4 6.6
12 50 -5 3
12 112 -5 15.4
12 548 -4.4 6.6
13 50 -5 3
13 112 -5 15.4
13 548 -4.4 6.6
15 50 -5 3
15 112 -5 15.4
15 548 -4.4 6.6
16 50 -5 3
16 112 -5 15.4
16 548 -4.4 6.6
17 50 -5 3
17 112 -5 15.4
17 548 -4.4 6.6
18 50 -5 3
18 112 -5 15.4
18 548 -4.4 6.6
20 50 -5 3
20 112 -5 15.4
20 548 -4.4 6.6
21 50 -5 3
21 112 -5 15.4
21 548 -4.4 6.6
22 50 -5 3
22 112 -5 15.4
22 548 -4.4 6.6
24 50 -5 3
24 112 -5 15.4
24 548 -4.4 6.6
26 50 -5 3
26 112 -5 15.4
26 268 -4.8 14.6
26 548 -4.4 6.6
28 50 -5 3
28 112 -5 15.4
28 268 -4.8 14.6
28 548 -4.4 6.6
29 50 -5 3
29 112 -5 15.4
29 268 -4.8 14.6
29 548 -4.4 6.6
30 50 -5 3
30 112 -5 15.4
30 548 -4.4 6.6
32 50 -5 3
32 112 -5 15.4
32 268 -4.8 14.6
32 548 -4.4 6.6
33 50 -5 3
33 112 -5 15.4
33 268 -4.8 14.6
33 548 -4.4 6.6
34 50 -5 3
34 112 -5 15.4
34 268 -4.8 14.6
34 548 -4.4 6.6
36 50 -5 3
36 112 -5 15.4
36 268 -4.8 14.6
36 548 -4.4 6.6
37 50 -5 3
37 112 -5 15.4
37 268 -4.8 14.6
37 548 -4.4 6.6
38 50 -5 3
38 112 -5 15.4
38 268 -4.8 14.6
38 548 -4.4 6.6
40 50 -5 3
40 112 -5 15.4
40 268 -4.8 14.6
40 548 -4.4 6.6
41 50 -5 3
41 112 -5 15.4
41 268 -4.8 14.6
41 548 -4.4 6.6
42 50 -5 3
42 112 -5 15.4
42 268 -4.8 14.6
42 548 -4.4 6.6
43 50 -5 3
43 112 -5 15.4
43 268 -4.8 14.6
43 391 -4.6 7.2
43 548 -4.4 6.6
45 50 -5 3
45 112 -5 15.4
45 268 -4.8 14.6
